iter	Passed	Remaining
845	30040	5468
846	30073	5432
847	30107	5396
848	30144	5361
849	30177	5325
850	30211	5289
851	30254	5255
852	30290	5219
853	30322	5183
854	30357	5148
855	30391	5112
856	30427	5077
857	30459	5041
858	30490	5004
859	30535	4970
860	30577	4936
861	30614	4901
862	30645	4864
863	30679	4829
864	30711	4793
865	30744	4757
866	30777	4721
867	30814	4686
868	30855	4651
869	30886	4615
870	30919	4579
871	30957	4544
872	30990	4508
873	31026	4472
874	31062	4437
875	31096	4401
876	31136	4366
877	31173	4331
878	31205	4295
879	31242	4260
880	31277	4224
881	31312	4189
882	31345	4153
883	31376	4117
884	31408	4081
885	31450	4046
886	31486	4011
887	31528	3976
888	31560	3940
889	31594	3904
890	31627	3869
891	31659	3833
892	31692	3797
893	31731	3762
894	31766	3726
895	31803	3691
896	31838	3655
897	31870	3620
898	31902	3584
899	31933	3548
900	31968	3512
901	32005	3477
902	32045	3442
903	32079	3406
904	32115	3371
905	32149	3335
906	32183	3299
907	32213	3263
908	32248	3228
909	32281	3192
910	32324	3157
911	32358	3122
912	32391	3086
913	32426	3051
914	32460	3015
915	32504	2980
916	32539	2945
917	32571	2909
918	32609	2874
919	32652	2839
920	32685	2803
921	32717	2767
922	32751	2732
923	32785	2696
924	32818	2660
925	32851	2625
926	32886	2589
927	32928	2554
928	32961	2519
929	32995	2483
930	33028	2447
931	33061	2412
932	33095	2376
933	33129	2341
934	33163	2305
935	33204	2270
936	33241	2234
937	33271	2199
938	33307	2163
939	33339	2128
940	33373	2092
941	33406	2056
942	33440	2021
943	33481	1986
944	33523	1951
945	33559	1915
946	33591	1880
947	33626	1844
948	33660	1808
949	33694	1773
950	33727	1737
951	33759	1702
952	33798	1666
953	33834	1631
954	33869	1595
955	33903	1560
956	33936	1524
957	33968	1489
958	34000	1453
959	34032	1418
960	34068	1382
961	34110	1347
962	34143	1311
963	34174	1276
964	34209	1240
965	34243	1205
966	34276	1169
967	34312	1134
968	34347	1098
969	34391	1063
970	34426	1028
971	34469	992
972	34504	957
973	34539	922
974	34578	886
975	34613	851
976	34647	815
977	34687	780
978	34726	744
979	34761	709
980	34796	673
981	34833	638
982	34870	603
983	34901	567
984	34934	531
985	34976	496
986	35010	461
987	35045	425
988	35081	390
989	35113	354
990	35143	319
991	35176	283
992	35209	248
993	35240	212
994	35289	177
995	35322	141
996	35359	106
997	35392	70
998	35427	35
999	35464	0
